1,admin,Administrator,2025-04-17 08:05:21,2025-04-17 08:05:21
2,user,Normal User,2025-04-17 08:05:21,2025-04-17 08:05:21
3,hr,HR,2025-04-17 16:09:01,2025-04-17 16:09:01
4,department_head,Department Head,2025-04-17 16:09:42,2025-04-17 16:09:42
5,employee,Employee,2025-04-17 16:10:13,2025-04-17 16:10:13
